Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
animalBear,entityclasses,Entity,,,Yogi,,Bär,Oso,Ours,Orso,クマ,곰,Niedźwiedź,Urso,Медведь,Ayı,熊,熊,Oso
animalBoar,entityclasses,Entity,,,Wilbur,,Wildschwein,Jabalí,Sanglier,Cinghiale,イノシシ,멧돼지,Dzik,Javali,Кабан,Yabandomuzu,野猪,野豬,Jabalí
animalBossGrace,entityclasses,Entity,,,Purple PeopleEater,,Grace,Grace,Sanglier,Grace,グレース,그레이스,Grace,Graça,Кабан-мутант,Grace,格雷斯,格雷絲,Grace
animalChicken,entityclasses,Entity,,,Foghorn Leghorn,,Huhn,Pollo,Poulet,Pollo,雌鶏,닭,Kurczak,Galinha,Курица,Tavuk,鸡,雞,Pollo
animalCoyote,entityclasses,Entity,,,Wilie Coyote,,Kojote,Coyote,Coyote,Coyote,コヨーテ,코요테,Kojot,Coiote,Койот,Çakal,丛林狼,土狼,Coyote
animalDeer,entityclasses,Entity,,,Bambino,,Hirsch,Ciervo,Cervidé,Cervo,シカ,사슴,Jeleń,Cervo,Олень,Geyik,鹿,鹿,Ciervo
animalDireWolf,entityclasses,Entity,,,Big Bad Wolf,,Schreckenswolf,Lobo gigante,Canis dirus,Metalupo,ダイアウルフ,다이어울프,Straszny wilk,Lobo-vil,Ужасный волк,Korkunç Kurt,恐狼,恐狼,Lobo gigante
animalDoe,entityclasses,Entity,,,Bambi Mom,,Reh,Gama,Biche,Cerva,牝鹿,암사슴,Sarna,Corça,Самка оленя,Dişi Geyik,母鹿,母鹿,Gama
animalMountainLion,entityclasses,Entity,,,Sylvester,,Berglöwe,Puma,Puma,Leone di montagna,クーガー,퓨마,Puma,Puma,Пума,Dağ Aslanı,美洲狮,美洲獅,Puma
animalPig,entityclasses,Entity,,,Wilbur,,Schwein,Cerdo,Cochon,Maiale,ブタ,돼지,Świnia,Porco,Свинья,Domuz,猪,豬,Cerdo
